"Season","Team","H","HR","R","BB","SO","AVG","OBP","SLG","OPS","ISO","BABIP","wOBA","wRC","wRCplus"
"2011","Giants","1327","121","570","448","1122",".242",".303",".368",".671",".126",".281",".295","581","88"
"2010","Astros","1348","108","611","415","1025",".247",".303",".362",".665",".115",".285",".295","561","79"
"2014","Phillies","1356","125","619","443","1306",".242",".302",".363",".665",".121",".292",".295","592","86"
"2014","Reds","1282","131","595","415","1252",".238",".296",".365",".661",".127",".284",".294","566","83"
"2003","Dodgers","1328","124","574","407","985",".243",".303",".368",".671",".125",".275",".294","563","78"
"2018","Padres","1289","162","617","471","1523",".235",".297",".380",".677",".145",".294",".294","602","84"
"2012","Mariners","1285","149","619","466","1259",".234",".296",".369",".665",".135",".276",".291","575","87"
"2011","Padres","1284","91","593","501","1320",".237",".305",".349",".653",".112",".294",".290","552","86"
"2018","Giants","1324","133","603","448","1467",".239",".300",".368",".667",".129",".299",".290","586","82"
"2018","Marlins","1303","128","589","455","1384",".237",".303",".357",".659",".119",".293",".289","581","83"
"2010","Mariners","1274","101","513","459","1184",".236",".298",".339",".637",".104",".282",".285","513","79"
"2011","Mariners","1263","109","556","435","1280",".233",".292",".348",".640",".115",".283",".283","516","80"
"2014","Padres","1199","109","535","468","1294",".226",".292",".342",".634",".115",".277",".283","510","82"
"2013","Marlins","1257","95","513","432","1232",".231",".293",".335",".627",".104",".280",".279","493","74"
