"Season","Team","H","HR","R","BB","SO","AVG","OBP","SLG","OPS","ISO","BABIP","wOBA","wRC","wRCplus"
"2011","Cubs","1423","148","654","425","1202",".256",".314",".401",".715",".144",".301",".314","670","91"
"2011","Angels","1394","155","667","442","1086",".253",".313",".402",".714",".149",".288",".313","669","98"
"2015","Cubs","1341","171","689","567","1518",".244",".321",".398",".719",".154",".305",".313","695","96"
"2018","Angels","1323","214","721","514","1300",".242",".313",".413",".726",".171",".277",".313","710","100"
"2018","Twins","1379","166","738","534","1328",".250",".318",".405",".723",".155",".298",".313","711","95"
"2005","Royals","1445","126","701","424","1008",".263",".320",".396",".716",".134",".298",".313","665","87"
"2003","Indians","1413","158","699","466","1062",".254",".316",".401",".717",".148",".286",".313","682","90"
"2015","Rays","1383","167","644","436","1310",".252",".314",".406",".720",".154",".300",".313","682","100"
"2014","Indians","1411","142","669","504","1189",".253",".317",".389",".706",".136",".296",".313","683","98"
"2017","White Sox","1412","186","706","401","1397",".256",".314",".417",".731",".161",".309",".313","698","95"
"2010","Nationals","1355","149","655","503","1220",".250",".318",".390",".708",".140",".294",".313","658","90"
"2010","Athletics","1396","109","663","527","1061",".256",".324",".378",".702",".122",".297",".313","663","95"
"2009","Reds","1349","158","673","531","1129",".247",".318",".394",".712",".147",".282",".313","652","84"
"2012","Twins","1448","131","701","505","1069",".260",".325",".390",".715",".130",".298",".313","698","95"
"2015","Mariners","1379","198","656","478","1336",".249",".311",".411",".722",".162",".292",".313","686","100"
"2015","Pirates","1462","140","697","461","1322",".260",".323",".396",".719",".136",".314",".313","699","97"
"2018","Mariners","1402","176","677","430","1221",".254",".314",".408",".722",".154",".295",".313","701","101"
"2009","Mariners","1430","160","640","421","1093",".258",".314",".402",".716",".144",".293",".313","651","89"
"2014","Brewers","1366","150","650","423","1197",".250",".311",".397",".708",".147",".293",".313","656","94"
"2014","White Sox","1400","155","660","417","1362",".253",".310",".398",".708",".146",".306",".312","664","99"
"2007","Royals","1447","102","706","428","1069",".261",".322",".388",".710",".126",".305",".312","663","85"
"2018","Pirates","1381","157","692","474","1229",".254",".317",".407",".725",".154",".298",".312","693","96"
"2005","Giants","1427","128","649","431","901",".261",".319",".396",".714",".135",".290",".312","656","86"
"2017","Royals","1436","193","702","390","1166",".259",".311",".420",".731",".160",".295",".312","690","91"
"2003","Reds","1349","182","694","524","1326",".245",".318",".395",".713",".150",".289",".312","678","84"
"1998","Devil Rays","1450","111","620","473","1107",".261",".321",".385",".706",".123",".306",".312","664","83"
"2002","Brewers","1369","139","627","500","1125",".253",".320",".390",".711",".137",".294",".312","657","86"
"2011","White Sox","1387","154","654","475","989",".252",".319",".388",".706",".136",".280",".312","672","90"
"2005","Twins","1441","134","688","485","978",".259",".323",".391",".714",".132",".291",".312","670","89"
"2013","Pirates","1346","161","634","469","1330",".245",".313",".396",".709",".151",".294",".312","658","99"
"2017","Blue Jays","1320","222","693","542","1327",".240",".312",".412",".724",".172",".276",".312","701","93"
"2014","Athletics","1354","146","729","586","1104",".244",".320",".381",".700",".137",".278",".312","678","102"
"2013","Nationals","1365","161","656","464","1192",".251",".313",".398",".710",".146",".292",".311","646","94"
"2010","Indians","1362","128","646","545","1184",".248",".322",".378",".700",".130",".293",".311","661","94"
"2008","Padres","1390","154","637","518","1259",".250",".317",".390",".707",".140",".294",".311","662","92"
"2012","Phillies","1414","158","684","454","1094",".255",".317",".400",".716",".144",".290",".311","683","93"
"1998","Diamondbacks","1353","159","665","489","1239",".246",".314",".393",".707",".146",".290",".311","653","82"
"2012","Rays","1293","175","697","571","1323",".240",".317",".394",".711",".155",".284",".311","678","100"
"2011","Marlins","1358","149","625","542","1244",".247",".318",".388",".706",".142",".291",".311","671","92"
"2016","Reds","1403","164","716","452","1284",".256",".316",".408",".724",".152",".303",".311","678","89"
"2013","Brewers","1381","157","640","407","1183",".252",".311",".398",".708",".145",".294",".311","647","91"
"2012","Blue Jays","1346","198","716","473","1251",".245",".309",".407",".716",".161",".281",".311","676","92"
"2012","Royals","1492","131","676","404","1032",".265",".317",".400",".716",".135",".302",".311","682","94"
"2012","Athletics","1315","195","713","550","1387",".238",".310",".404",".714",".166",".281",".311","685","97"
"2015","Cardinals","1386","137","647","506","1267",".253",".321",".394",".716",".142",".303",".311","676","97"
"2016","Yankees","1377","183","680","475","1188",".252",".314",".405",".720",".153",".289",".311","676","92"
"2002","Orioles","1353","165","667","452","993",".246",".309",".403",".712",".157",".271",".311","655","90"
"2008","Mariners","1498","124","671","417","890",".265",".318",".389",".707",".124",".294",".310","654","90"
"2017","Phillies","1382","174","690","494","1417",".250",".315",".409",".723",".159",".304",".310","690","88"
"2008","Nationals","1376","117","641","534","1095",".251",".323",".373",".696",".122",".292",".310","649","84"
"2010","Angels","1363","155","681","466","1070",".248",".311",".390",".702",".142",".281",".310","645","94"
"2010","Orioles","1440","133","613","424","1056",".259",".316",".386",".702",".127",".296",".310","648","87"
"2009","Pirates","1364","125","636","499","1142",".252",".318",".387",".705",".135",".296",".310","628","86"
"2012","Indians","1385","136","667","555","1087",".251",".324",".381",".705",".131",".288",".310","681","97"
"2012","Braves","1341","149","700","567","1289",".247",".320",".389",".709",".142",".296",".310","668","92"
"2007","Giants","1407","131","683","532","907",".254",".322",".387",".708",".133",".281",".310","656","81"
